"item"	"description"	"City"	"County"	"Local"	"School"	"Special"	"State"	"Total"	"Township"
"19T"	"Tax - Other Selective Sales and Gross Receipts"	1022573	191928	1216926	NA	2425	28304308	29521234	NA
"19U"	"Long Term Debt Beginning – Unspecified Public Purposes (NEW as of 2005)"	41069000	6001124	89430367	22391684	19825675	37479803	126910170	142884
"24T"	"Long Term Debt Issue, Nonguaranteed - Public Debt for Private Purpose"	NA	NA	NA	NA	NA	3690509	3690509	NA
"29U"	"Long Term Debt Issue – Unspecified Public Purposes (NEW as of 2005)"	4688433	1234677	11427338	3572474	1927885	2840501	14267839	3869
"34T"	"Long Term Debt Retired Nonguaranteed - Public Debt for Private Purpose"	176540	7387	184324	NA	397	6459116	6643440	NA
"39U"	"Long Term Debt Retired - Unspecified Public Purposes (NEW for 2005)"	4602288	1054643	10749102	2749907	2320252	4098496	14847598	22012
"44T"	"Long Term Debt Outstanding Nonguaranteed - Public Debt for Private Purposes"	846033	284046	1132107	NA	2028	25593828	26725935	NA
"49U"	"Long Term Debt Outstanding – Unspecified Public Purposes (NEW for 2005)"	41155135	6181160	90135863	23241518	19433317	36222121	126357984	124733
"61V"	"Short Term Debt Outstanding - Beginning"	7000	213	1144193	973106	163806	7789	1151982	68
"64V"	"Short Term Debt Outstanding - End of Fiscal Year"	700	216	1596980	1435428	160583	5370	1602350	53
"A01"	"Charges - Air Transportation"	1375243	NA	1425108	NA	49865	NA	1425108	NA
"A03"	"Charges - Miscellaneous Commercial Activities"	9	NA	489	NA	480	NA	489	NA
"A09"	"Charges - Elementary & Secondary Education School Lunch"	NA	NA	203089	203089	NA	NA	203089	NA
"A10"	"Charges - Elementary & Secondary Education School Tuition"	NA	NA	66891	66891	NA	NA	66891	NA
"A12"	"Charges - Elementary & Secondary Education, Other"	NA	NA	356281	356281	NA	NA	356281	NA
"A16"	"Charges - Higher Education Auxiliary Enterprises"	NA	NA	110660	110660	NA	770525	881185	NA
"A18"	"Charges - Higher Education, Other"	NA	NA	591351	591351	NA	2356700	2948051	NA
"A21"	"Charges - Education - Other, NEC"	NA	NA	NA	NA	NA	1605	1605	NA
"A36"	"Charges - Public Hospital"	253050	301680	1011216	NA	456486	814692	1825908	NA
"A44"	"Charges - Regular Highways"	15028	1202	17315	NA	842	2471	19786	243
"A45"	"Charges - Toll Highways"	NA	NA	NA	NA	NA	1303283	1303283	NA
"A50"	"Charges - Housing & Community Development"	10979	NA	187769	NA	175814	41183	228952	976
"A59"	"Charges - Natural Resources, Other"	NA	15769	48446	NA	32677	15592	64038	NA
"A60"	"Charges – Parking Facilities (NEW for 2005)"	56169	809	57654	NA	550	NA	57654	126
"A61"	"Charges - Parks & Recreation"	202781	68239	1132002	NA	859113	5147	1137149	1869
"A80"	"Charges - Sewerage"	1044454	44484	1423887	NA	324583	NA	1423887	10366
"A81"	"Charges - Solid Waste Management"	319048	7457	333350	NA	6649	NA	333350	196
"A87"	"Charges - Sea and Inland Port Facilities"	NA	NA	9678	NA	9678	NA	9678	NA
"A89"	"Charges - All Other"	707001	863381	1754490	NA	173208	32440	1786930	10900
"A91"	"Revenue - Water Utilities"	2706075	22584	3040370	NA	305042	NA	3040370	6669
"A92"	"Revenue - Electric Utilities"	823018	NA	1213065	NA	390047	NA	1213065	NA
"A93"	"Revenue - Gas Utilities"	55996	NA	69055	NA	13059	NA	69055	NA
"A94"	"Revenue - Transit Utilities"	7039	NA	1019118	NA	1011961	NA	1019118	118
"B01"	"Intergovernmental Revenue from Federal - Air Transportation"	129730	NA	141821	NA	12091	69392	211213	NA
"B21"	"Intergovernmental Revenue from Federal - Education"	142638	NA	345037	202399	NA	3294890	3639927	NA
"B22"	"Intergovernmental Revenue from Federal- Employment Security Administration"	NA	NA	NA	NA	NA	177774	177774	NA
"B30"	"Intergovernmental Revenue from Federal - General Support"	12819	7045	20836	NA	NA	NA	20836	972
"B42"	"Intergovernmental Revenue from Federal - Health & Hospitals"	110123	102416	214741	NA	127	545039	759780	2075
"B46"	"Intergovernmental Revenue from Federal - Highways"	26151	10817	37735	NA	222	1588615	1626350	545
"B50"	"Intergovernmental Revenue from Federal - Housing & Community Development"	190801	41090	1437982	NA	1205924	313718	1751700	167
"B59"	"Intergovernmental Revenue from Federal - Other Natural Resources"	NA	2143	3614	NA	1471	45988	49602	NA
"B79"	"Intergovernmental Revenue from Federal - Public Welfare"	25227	69849	95174	NA	NA	12456862	12552036	98
"B80"	"Intergovernmental Revenue from Federal - Sewerage"	16639	NA	20934	NA	4295	87308	108242	NA
"B89"	"Intergovernmental Revenue from Federal - All Other"	59560	133021	204478	NA	10086	569174	773652	1811
"B91"	"Intergovernmental Revenue from Federal - Water Utilities"	9695	9	22850	NA	12696	43002	65852	450
"B92"	"Intergovernmental Revenue from Federal - Electric Utilities"	12	NA	4461	NA	4449	NA	4461	NA
"B94"	"Intergovernmental Revenue from Federal - Transit Utilities"	61077	3297	1057449	NA	993019	477687	1535136	56
"C21"	"Intergovernmental Revenue from State - Education"	NA	NA	10830199	10830199	NA	NA	NA	NA
