"item"	"description"	"City"	"County"	"Local"	"School"	"Special"	"State"	"Total"	"Township"
"19T"	"Tax - Other Selective Sales and Gross Receipts"	1582391	112290	1825685	NA	130395	14032131	15857816	609
"19U"	"Long Term Debt Beginning – Unspecified Public Purposes (NEW as of 2005)"	12646410	1704492	26504720	9876784	2180149	8457970	34962690	96885
"24T"	"Long Term Debt Issue, Nonguaranteed - Public Debt for Private Purpose"	83471	NA	86474	NA	3003	79555	166029	NA
"29U"	"Long Term Debt Issue – Unspecified Public Purposes (NEW as of 2005)"	802912	151549	3337955	1662864	719332	1494667	4832622	1298
"34T"	"Long Term Debt Retired Nonguaranteed - Public Debt for Private Purpose"	113278	11176	132223	NA	7711	1733404	1865627	58
"39U"	"Long Term Debt Retired - Unspecified Public Purposes (NEW for 2005)"	1036763	187030	3643791	1651666	758811	1750405	5394196	9521
"44T"	"Long Term Debt Outstanding Nonguaranteed - Public Debt for Private Purposes"	1314830	101114	1542184	NA	125688	12392172	13934356	552
"49U"	"Long Term Debt Outstanding – Unspecified Public Purposes (NEW for 2005)"	12424450	1669008	26280454	9957665	2140666	8320335	34600789	88665
"61V"	"Short Term Debt Outstanding - Beginning"	206977	3333	406643	159630	36264	194692	601335	439
"64V"	"Short Term Debt Outstanding - End of Fiscal Year"	211003	6368	376304	136382	22239	124706	501010	312
"A01"	"Charges - Air Transportation"	173644	37993	211668	NA	NA	NA	211668	31
"A03"	"Charges - Miscellaneous Commercial Activities"	7775	NA	8180	NA	NA	NA	8180	405
"A09"	"Charges - Elementary & Secondary Education School Lunch"	NA	NA	187907	187907	NA	NA	187907	NA
"A10"	"Charges - Elementary & Secondary Education School Tuition"	NA	NA	5259	5259	NA	NA	5259	NA
"A12"	"Charges - Elementary & Secondary Education, Other"	NA	NA	165674	165674	NA	NA	165674	NA
"A16"	"Charges - Higher Education Auxiliary Enterprises"	NA	NA	NA	NA	NA	774307	774307	NA
"A18"	"Charges - Higher Education, Other"	NA	NA	NA	NA	NA	2654363	2654363	NA
"A21"	"Charges - Education - Other, NEC"	NA	NA	NA	NA	NA	733	733	NA
"A36"	"Charges - Public Hospital"	1182729	2844798	4207989	NA	180462	29	4208018	NA
"A44"	"Charges - Regular Highways"	6601	2812	9413	NA	NA	1294	10707	NA
"A45"	"Charges - Toll Highways"	18	NA	18	NA	NA	NA	18	NA
"A50"	"Charges - Housing & Community Development"	14439	173	43356	NA	28744	5077	48433	NA
"A59"	"Charges - Natural Resources, Other"	20	8	2039	NA	2011	48560	50599	NA
"A60"	"Charges – Parking Facilities (NEW for 2005)"	12051	2750	15298	NA	484	NA	15298	13
"A61"	"Charges - Parks & Recreation"	99436	17248	137249	NA	17981	33712	170961	2584
"A80"	"Charges - Sewerage"	1707664	2482	1792446	NA	82047	NA	1792446	253
"A81"	"Charges - Solid Waste Management"	105138	17169	155172	NA	32860	NA	155172	5
"A87"	"Charges - Sea and Inland Port Facilities"	3268	3539	6807	NA	NA	13246	20053	NA
"A89"	"Charges - All Other"	130446	161082	332659	NA	19835	19579	352238	21296
"A90"	"Revenue - Liquor Stores"	NA	1	1	NA	NA	NA	1	NA
"A91"	"Revenue - Water Utilities"	957141	NA	975665	NA	18424	NA	975665	100
"A92"	"Revenue - Electric Utilities"	999835	NA	1467243	NA	467408	NA	1467243	NA
"A93"	"Revenue - Gas Utilities"	317572	NA	317572	NA	NA	NA	317572	NA
"A94"	"Revenue - Transit Utilities"	21453	NA	42846	NA	21393	NA	42846	NA
"B01"	"Intergovernmental Revenue from Federal - Air Transportation"	36114	7062	43176	NA	NA	57	43233	NA
"B21"	"Intergovernmental Revenue from Federal - Education"	NA	25	17619	17594	NA	1609030	1626649	NA
"B22"	"Intergovernmental Revenue from Federal- Employment Security Administration"	NA	NA	NA	NA	NA	90244	90244	NA
"B30"	"Intergovernmental Revenue from Federal - General Support"	486	65	551	NA	NA	NA	551	NA
"B42"	"Intergovernmental Revenue from Federal - Health & Hospitals"	35390	17567	53517	NA	560	352871	406388	NA
"B46"	"Intergovernmental Revenue from Federal - Highways"	2228	4212	6440	NA	NA	991461	997901	NA
"B50"	"Intergovernmental Revenue from Federal - Housing & Community Development"	7750	2997	173958	NA	163211	431297	605255	NA
"B59"	"Intergovernmental Revenue from Federal - Other Natural Resources"	NA	NA	617	NA	617	90317	90934	NA
"B79"	"Intergovernmental Revenue from Federal - Public Welfare"	286	4299	4601	NA	NA	10806057	10810658	16
"B80"	"Intergovernmental Revenue from Federal - Sewerage"	3281	NA	6840	NA	3559	NA	6840	NA
"B89"	"Intergovernmental Revenue from Federal - All Other"	80866	19632	103307	NA	2160	232725	336032	649
