"item"	"description"	"City"	"County"	"Local"	"School"	"Special"	"State"	"Total"	"Township"
"19T"	NA	822019	1653670	2552165	NA	275	13937659	16489824	76201
"19U"	"Long Term Debt Beginning – Unspecified Public Purposes (NEW as of 2005)"	9117958	4359925	35224376	16609138	3186032	19384269	54608645	1951323
"24T"	"Long Term Debt Issue, Nonguaranteed - Public Debt for Private Purpose"	10938	167	17818	NA	5108	801206	819024	1605
"29U"	"Long Term Debt Issue – Unspecified Public Purposes (NEW as of 2005)"	2122488	666925	6097121	2402830	660098	2178140	8275261	244780
"34T"	"Long Term Debt Retired Nonguaranteed - Public Debt for Private Purpose"	52362	32274	89249	NA	19	896153	985402	4594
"39U"	"Long Term Debt Retired - Unspecified Public Purposes (NEW for 2005)"	1540020	853755	5826740	2543035	579474	2386318	8213058	310456
"44T"	"Long Term Debt Outstanding Nonguaranteed - Public Debt for Private Purposes"	780594	1621564	2479248	NA	5364	13842712	16321960	71726
"49U"	"Long Term Debt Outstanding – Unspecified Public Purposes (NEW for 2005)"	9700332	4167187	35494598	16464765	3276661	19353589	54848187	1885653
"61V"	"Short Term Debt Outstanding - Beginning"	193696	53758	891802	639448	4852	406800	1298602	48
"64V"	"Short Term Debt Outstanding - End of Fiscal Year"	3872	50518	583768	526617	2761	478268	1062036	NA
"A01"	"Charges - Air Transportation"	5871	36299	505220	NA	462412	676	505896	638
"A03"	"Charges - Miscellaneous Commercial Activities"	17377	NA	66578	NA	47034	NA	66578	2167
"A09"	"Charges - Elementary & Secondary Education School Lunch"	NA	NA	158802	158802	NA	NA	158802	NA
"A10"	"Charges - Elementary & Secondary Education School Tuition"	NA	NA	43397	43397	NA	NA	43397	NA
"A12"	"Charges - Elementary & Secondary Education, Other"	NA	NA	380084	380084	NA	NA	380084	NA
"A16"	"Charges - Higher Education Auxiliary Enterprises"	NA	NA	63326	63326	NA	1133307	1196633	NA
"A18"	"Charges - Higher Education, Other"	NA	NA	493085	493085	NA	3931628	4424713	NA
"A21"	"Charges - Education - Other, NEC"	NA	NA	NA	NA	NA	15077	15077	NA
"A36"	"Charges - Public Hospital"	354531	304336	796510	NA	137643	4204148	5000658	NA
"A44"	"Charges - Regular Highways"	8530	107033	115707	NA	NA	37	115744	144
"A45"	"Charges - Toll Highways"	NA	NA	1734	NA	1734	29067	30801	NA
"A50"	"Charges - Housing & Community Development"	52006	3485	56201	NA	NA	8143	64344	710
"A59"	"Charges - Natural Resources, Other"	NA	8033	12727	NA	4664	47895	60622	30
"A60"	"Charges – Parking Facilities (NEW for 2005)"	75124	2128	77264	NA	NA	NA	77264	12
"A61"	"Charges - Parks & Recreation"	95680	31843	199361	NA	51974	6360	205721	19864
"A80"	"Charges - Sewerage"	1101485	291788	1762257	NA	44578	NA	1762257	324406
"A81"	"Charges - Solid Waste Management"	132720	53417	246904	NA	31420	NA	246904	29347
"A87"	"Charges - Sea and Inland Port Facilities"	2545	NA	3366	NA	821	NA	3366	NA
"A89"	"Charges - All Other"	794928	1586973	2670806	NA	31032	125296	2796102	257873
"A90"	"Revenue - Liquor Stores"	NA	NA	NA	NA	NA	1082256	1082256	NA
"A91"	"Revenue - Water Utilities"	926822	110804	1382188	NA	67503	NA	1382188	277059
"A92"	"Revenue - Electric Utilities"	1212521	NA	1469525	NA	257004	NA	1469525	NA
"A94"	"Revenue - Transit Utilities"	24915	4176	78668	NA	49554	NA	78668	23
"B01"	"Intergovernmental Revenue from Federal - Air Transportation"	983	5298	19667	NA	13386	83579	103246	NA
"B21"	"Intergovernmental Revenue from Federal - Education"	NA	19329	222777	203448	NA	3330544	3553321	NA
"B22"	"Intergovernmental Revenue from Federal- Employment Security Administration"	NA	NA	NA	NA	NA	184795	184795	NA
"B42"	"Intergovernmental Revenue from Federal - Health & Hospitals"	10929	285115	296044	NA	NA	1500544	1796588	NA
"B46"	"Intergovernmental Revenue from Federal - Highways"	1785	51689	54558	NA	1084	817685	872243	NA
"B50"	"Intergovernmental Revenue from Federal - Housing & Community Development"	374897	46946	426267	NA	NA	553026	979293	4424
"B59"	"Intergovernmental Revenue from Federal - Other Natural Resources"	NA	484	4485	NA	4001	73322	77807	NA
"B79"	"Intergovernmental Revenue from Federal - Public Welfare"	1593	78508	80120	NA	NA	13678460	13758580	19
"B80"	"Intergovernmental Revenue from Federal - Sewerage"	NA	568	1778	NA	839	49510	51288	371
"B89"	"Intergovernmental Revenue from Federal - All Other"	142132	239351	397829	NA	3257	787910	1185739	13089
"B91"	"Intergovernmental Revenue from Federal - Water Utilities"	19	NA	19	NA	NA	30353	30372	NA
"B94"	"Intergovernmental Revenue from Federal - Transit Utilities"	60788	6461	164840	NA	97591	86532	251372	NA
"C21"	NA	NA	NA	12798445	12798445	NA	NA	NA	NA
"C30"	NA	695140	168623	1255995	NA	NA	NA	NA	392232
"C42"	NA	10418	1501224	1513124	NA	1465	NA	NA	17
"C46"	NA	442339	974320	1422612	NA	2520	NA	NA	3433
"C50"	NA	368	235	606	NA	NA	NA	NA	3
"C79"	NA	129005	688947	817975	NA	NA	NA	NA	23
"C80"	NA	NA	35420	36710	NA	1290	NA	NA	NA
"C89"	NA	296600	506548	1095341	NA	256889	NA	NA	35304
"C91"	NA	NA	572	616	NA	44	NA	NA	NA
"C94"	NA	2454	3649	137930	NA	131707	NA	NA	120
"D21"	"Intergovernmental Revenue from Local - Education"	NA	NA	NA	43011	NA	8689	NA	NA
"D42"	"Intergovernmental Revenue from Local - Health & Hospitals"	99	42466	NA	NA	508	52070	NA	420
"D46"	"Intergovernmental Revenue from Local - Highways"	13120	131001	NA	NA	1191	18377	NA	1750
"D50"	"Intergovernmental Revenue from Local - Housing and Community Development (NEW in 2007)"	8624	1452	NA	NA	NA	4013	NA	405
"D79"	"Intergovernmental Revenue from Local - Public Welfare"	538	1646	NA	NA	NA	50362	NA	352
"D80"	"Intergovernmental Revenue from Local - Sewerage"	989	131091	NA	NA	50819	NA	NA	NA
"D89"	"Intergovernmental Revenue from Local - All Other"	93395	169169	NA	NA	46892	40855	NA	18803
"D91"	"Intergovernmental Revenue from Local - Water Utilities"	314	215	NA	NA	7449	NA	NA	NA
"D94"	"Intergovernmental Revenue from Local - Transit Utilities"	4409	4952	NA	NA	26839	54	NA	239
"E01"	"Current Operations - Air Transportation"	10960	41748	341633	NA	286976	33592	375225	1949
"E03"	"Current Operations - Miscellaneous Commercial Activities, NEC"	27828	NA	105040	NA	73885	927	105967	3327
"E04"	"Current Operations - Correctional Institutions"	1328	492612	493947	NA	NA	1560789	2054736	7
"E05"	"Current Operations - Corrections, Other"	1348	113586	114934	NA	NA	302662	417596	NA
"E12"	"Current Operations - Elementary & Secondary Education"	2212	19333	16107667	16086122	NA	NA	16107667	NA
"E16"	"Current Operations - Higher Education Auxiliary Enterprises"	NA	NA	73284	73284	NA	1314878	1388162	NA
"E18"	"Current Operations - Other Higher Education"	NA	NA	1372849	1372849	NA	7415063	8787912	NA
"E21"	"Current Operations - Other Education"	NA	NA	NA	NA	NA	239519	239519	NA
"E22"	"Current Operations - Social Insurance Administration"	NA	NA	NA	NA	NA	176091	176091	NA
"E23"	"Current Operations - Financial Administration"	203475	329471	652659	NA	NA	542682	1195341	119713
"E24"	NA	585179	835	904308	NA	14227	NA	904308	304067
"E25"	"Current Operations - Judicial and Legal Services"	150174	851889	1018939	NA	NA	187504	1206443	16876
"E29"	"Current Operations - Central Staff Services"	233208	151445	532972	NA	NA	194874	727846	148319
"E31"	"Current Operations - General Public Buildings"	58389	87123	198346	NA	NA	1189	199535	52834
"E32"	"Current Operations - Health Services, Other"	51345	2541565	2632768	NA	19765	1486227	4118995	20093
"E36"	"Current Operations - Own Hospitals"	417901	326117	885506	NA	141306	4384135	5269641	182
"E44"	"Current Operations - Regular Highways"	714506	1260337	2180991	NA	1545	550927	2731918	204603
"E45"	"Current Operations - Toll Highways"	NA	NA	4500	NA	4500	16195	20695	NA
"E50"	"Current Operations - Housing & Community Development"	360343	53596	420770	NA	NA	623036	1043806	6831
"E52"	"Current Operations - Libraries"	107355	28943	364745	NA	178183	10186	374931	50264
"E59"	"Current Operations - Natural Resources, Other"	2050	36935	53137	NA	14152	335571	388708	NA
"E60"	"Current Operations – Parking Facilities (NEW for 2005)"	28837	482	29319	NA	NA	NA	29319	NA
"E61"	"Current Operations - Parks & Recreation"	352546	123625	622730	NA	62027	107410	730140	84532
"E62"	"Current Operations - Police Protection"	1258449	520068	2069342	NA	432	471665	2541007	290393
"E66"	"Current Operations - Protective Inspection and Regulation, NEC"	101998	18665	165085	NA	NA	288517	453602	44422
"E74"	"Current Operations - Welfare, Vendor Payments for Medical Care"	NA	478498	478498	NA	NA	12801534	13280032	NA
"E75"	"Current Operations - Welfare, Vendor Payments for Other Purposes"	NA	12987	12987	NA	NA	328221	341208	NA
"E77"	"Current Operations - Welfare Institutions"	116	615372	615725	NA	NA	67093	682818	237
"E79"	"Current Operations - Welfare, Other"	2425	229069	231647	NA	NA	2295278	2526925	153
"E80"	"Current Operations - Sewerage"	1238559	419127	2080005	NA	66766	NA	2080005	355553
"E81"	"Current Operations - Solid Waste Management"	298260	65218	491007	NA	43762	5162	496169	83767
"E87"	"Current Operations - Sea and Inland Port Facilities"	733	NA	3488	NA	2755	NA	3488	NA
"E89"	"Current Operations - General, Other"	1390305	837013	2639794	NA	132375	644570	3284364	280101
"E90"	"Current Operations - Liquor Stores"	NA	NA	NA	NA	NA	872771	872771	NA
"E91"	"Current Operations - Water Utilities"	625215	107389	955899	NA	58287	NA	955899	165008
