"item"	"description"	"City"	"County"	"Local"	"School"	"Special"	"State"	"Total"	"Township"
"19T"	NA	946954	NA	970332	NA	22351	11640123	12610455	1027
"19U"	"Long Term Debt Beginning – Unspecified Public Purposes (NEW as of 2005)"	9224155	2626844	20541984	5834172	2494582	11412266	31954250	362231
"24T"	"Long Term Debt Issue, Nonguaranteed - Public Debt for Private Purpose"	65829	NA	65829	NA	NA	448169	513998	NA
"29U"	"Long Term Debt Issue – Unspecified Public Purposes (NEW as of 2005)"	2150865	442693	5240175	2205810	339879	3064727	8304902	100928
"34T"	"Long Term Debt Retired Nonguaranteed - Public Debt for Private Purpose"	28691	NA	29368	NA	664	177242	206610	13
"39U"	"Long Term Debt Retired - Unspecified Public Purposes (NEW for 2005)"	1728313	384925	3931963	1431291	299691	3135663	7067626	87743
"44T"	"Long Term Debt Outstanding Nonguaranteed - Public Debt for Private Purposes"	984092	NA	1006792	NA	21686	11911050	12917842	1014
"49U"	"Long Term Debt Outstanding – Unspecified Public Purposes (NEW for 2005)"	9659473	2684611	21862950	6608690	2534768	11341331	33204281	375408
"61V"	"Short Term Debt Outstanding - Beginning"	157663	64109	673362	347345	100662	NA	673362	3583
"64V"	"Short Term Debt Outstanding - End of Fiscal Year"	233411	66377	724843	319187	98848	NA	724843	7020
"A01"	"Charges - Air Transportation"	7257	148065	155639	NA	NA	NA	155639	317
"A03"	"Charges - Miscellaneous Commercial Activities"	6631	NA	7170	NA	NA	NA	7170	539
"A09"	"Charges - Elementary & Secondary Education School Lunch"	NA	56	151310	151254	NA	NA	151310	NA
"A10"	"Charges - Elementary & Secondary Education School Tuition"	NA	NA	7708	7708	NA	NA	7708	NA
"A12"	"Charges - Elementary & Secondary Education, Other"	NA	379	122499	122120	NA	NA	122499	NA
"A16"	"Charges - Higher Education Auxiliary Enterprises"	NA	NA	48173	48173	NA	429499	477672	NA
"A18"	"Charges - Higher Education, Other"	NA	NA	196665	196665	NA	1737149	1933814	NA
"A21"	"Charges - Education - Other, NEC"	NA	NA	NA	NA	NA	2127	2127	NA
"A36"	"Charges - Public Hospital"	NA	81312	81312	NA	NA	1778776	1860088	NA
"A44"	"Charges - Regular Highways"	139863	439	148361	NA	NA	24425	172786	8059
"A50"	"Charges - Housing & Community Development"	25831	4069	78660	NA	48630	16616	95276	130
"A59"	"Charges - Natural Resources, Other"	6537	34739	47888	NA	3161	58925	106813	3451
"A60"	"Charges – Parking Facilities (NEW for 2005)"	66119	1223	67344	NA	NA	3834	71178	2
"A61"	"Charges - Parks & Recreation"	93516	87429	212666	NA	27323	42594	255260	4398
"A80"	"Charges - Sewerage"	761188	NA	990541	NA	215612	66	990607	13741
"A81"	"Charges - Solid Waste Management"	130386	92124	259035	NA	NA	896	259931	36525
"A87"	"Charges - Sea and Inland Port Facilities"	9326	194	9575	NA	NA	NA	9575	55
"A89"	"Charges - All Other"	209485	969589	1225345	NA	37398	548498	1773843	8873
"A91"	"Revenue - Water Utilities"	660908	1699	705957	NA	34021	NA	705957	9329
"A92"	"Revenue - Electric Utilities"	848535	11542	1367443	NA	505028	NA	1367443	2338
"A93"	"Revenue - Gas Utilities"	NA	NA	1196	NA	NA	NA	1196	1196
"A94"	"Revenue - Transit Utilities"	33504	35617	69123	NA	NA	NA	69123	2
"B01"	"Intergovernmental Revenue from Federal - Air Transportation"	NA	NA	NA	NA	NA	23957	23957	NA
"B21"	"Intergovernmental Revenue from Federal - Education"	NA	598	130274	129676	NA	1443541	1573815	NA
"B22"	"Intergovernmental Revenue from Federal- Employment Security Administration"	NA	NA	NA	NA	NA	91418	91418	NA
"B42"	"Intergovernmental Revenue from Federal - Health & Hospitals"	10912	8458	19370	NA	NA	234341	253711	NA
"B46"	"Intergovernmental Revenue from Federal - Highways"	8008	1175	11407	NA	1084	590214	601621	1140
"B50"	"Intergovernmental Revenue from Federal - Housing & Community Development"	57227	26806	197443	NA	113410	13502	210945	NA
"B59"	"Intergovernmental Revenue from Federal - Other Natural Resources"	NA	NA	226	NA	226	90279	90505	NA
"B79"	"Intergovernmental Revenue from Federal - Public Welfare"	19	64936	64955	NA	NA	6423910	6488865	NA
"B80"	"Intergovernmental Revenue from Federal - Sewerage"	188	NA	543	NA	355	NA	543	NA
"B89"	"Intergovernmental Revenue from Federal - All Other"	67264	84566	154403	NA	379	435989	590392	2194
"B94"	"Intergovernmental Revenue from Federal - Transit Utilities"	NA	NA	NA	NA	NA	13861	13861	NA
"C21"	NA	64281	77632	7785265	7629195	NA	NA	NA	14157
"C30"	NA	726147	191648	974372	NA	NA	NA	NA	56577
"C42"	NA	4393	322900	327460	NA	167	NA	NA	NA
"C46"	NA	207395	329581	684404	NA	510	NA	NA	146918
"C50"	NA	7825	14732	25107	NA	2550	NA	NA	NA
